N,batch_size,epochs,mse,mape
7,8,30,0.20766568377421793,165.38984696178645
7,8,50,0.0928463846809129,84.1896853804448
7,8,75,0.052729466318822596,54.5316085424603
7,8,100,0.026897700559751346,24.962320430864875
7,8,200,0.05173334002420743,55.12161570510739
7,16,30,0.06383368305848071,38.932796957574986
7,16,50,0.050284227718223974,51.21935279836249
7,16,75,0.08153399304497987,73.15807664775815
7,16,100,0.12225281370928494,98.07310092404776
7,16,200,0.04913626289749574,46.59425411385438
7,32,30,0.09598585056320194,88.4169796812842
7,32,50,0.0862888779416508,70.73599154281376
7,32,75,0.07088278458739125,57.979319279221684
7,32,100,0.029287909552581544,16.987482516030976
7,32,200,0.07690143554852727,71.16663098256402
7,64,30,0.05173893658004419,25.5725889865092
7,64,50,0.04119872255765206,43.5687809096752
7,64,75,0.03089763799657336,15.425709709418763
7,64,100,0.11072918733455935,99.77045555835508
7,64,200,0.0212072791931244,24.766774228087055
7,128,30,0.07277702261252651,62.820265651426595
7,128,50,0.05935146846543128,52.48518918622834
7,128,75,0.026515009417989413,28.120556607908114
7,128,100,0.06714166687563107,63.95227062232951
7,128,200,0.05706079646490148,56.86634954313268
8,8,30,0.13894157431850568,110.28787244291567
8,8,50,0.026098948006097994,8.939900755955001
8,8,75,0.1380934876446376,116.23812439702155
8,8,100,0.029608080194359232,25.52880546386309
8,8,200,0.03186958833270865,34.473093193447426
8,16,30,0.08004718824857121,74.83570943589856
8,16,50,0.1848699257380899,144.23523685199166
8,16,75,0.08362212358579547,47.355806871847264
8,16,100,0.031518310240898934,10.045419372193498
8,16,200,0.03195716170173898,26.160133593021012
8,32,30,0.14604590250659635,108.44990286936209
8,32,50,0.0490163123978925,39.86424498599971
8,32,75,0.06661645051815004,62.869885052535125
8,32,100,0.03312704794852709,11.98403411906234
8,32,200,0.08902370551313647,50.94562945578266
8,64,30,0.027847486300475094,17.178740363269114
8,64,50,0.09639430288836554,80.53787477573205
8,64,75,0.017914425115983266,16.583682101205845
8,64,100,0.06926368221963662,30.521828538193933
8,64,200,0.08267224592487894,70.55068182526854
8,128,30,0.019928226744977663,7.808689031660313
8,128,50,0.02354374204023812,17.088587567409313
8,128,75,0.021155935813919294,16.719456941406545
8,128,100,0.09736076549358035,84.26408488971096
8,128,200,0.027621740823085685,29.043796055897392
9,8,30,0.06044469194462841,57.779583211286344
9,8,50,0.03968508480126416,38.5566511892381
9,8,75,0.10652582671839168,88.55467620083827
9,8,100,0.10692593400017172,94.83399782744416
9,8,200,0.04980738975224749,57.27164466728959
9,16,30,0.07049419513709439,56.78214267440978
9,16,50,0.038721757923653566,21.775063840592686
9,16,75,0.11528117553585274,99.24537422271787
9,16,100,0.04574551468477358,49.10949641106359
9,16,200,0.04202763519616467,16.467108264009205
9,32,30,0.1318626415207671,106.66726515977145
9,32,50,0.05705678389373876,54.29745720444043
9,32,75,0.10644083601571402,90.93325346835509
9,32,100,0.023793524351995717,14.043288812479565
9,32,200,0.03177013992544117,16.57280392928932
9,64,30,0.05930970904476761,52.330470110685646
9,64,50,0.042631520545020646,37.72449200586714
9,64,75,0.05040371442732885,21.161070106862034
9,64,100,0.05607572990335239,47.65740667227612
9,64,200,0.019711971581021386,19.28304282116214
9,128,30,0.04042884220493065,39.17811958612128
9,128,50,0.06912010272250102,36.521515891107434
9,128,75,0.11406451838991315,88.08186309671309
9,128,100,0.08647551725190816,82.21841361083155
9,128,200,0.07461505078165331,61.39072581901651
10,8,30,0.08447829897590385,67.6406944967863
10,8,50,0.04324151942339691,30.31351233935613
10,8,75,0.06005796127699333,60.69977996349007
10,8,100,0.0397815476237286,30.740017702292217
10,8,200,0.027352195670053737,16.28558608904762
10,16,30,0.08074599935413145,70.8699880535135
10,16,50,0.14435523114867507,117.30016674028163
10,16,75,0.05551333839501119,40.98243906622881
10,16,100,0.059353945346737526,44.289430944923026
10,16,200,0.0577935248961066,39.476778503750666
10,32,30,0.0668275258825854,42.13476454500497
10,32,50,0.034290166250616004,23.030501046086126
10,32,75,0.08476255816682546,73.68697227613681
10,32,100,0.03779545351981454,32.09278040715352
10,32,200,0.044757100430715124,16.630430432635354
10,64,30,0.09746480017820347,88.86598886258267
10,64,50,0.09639699803998675,39.928144720364365
10,64,75,0.07597521700681666,58.392119704311696
10,64,100,0.04999061930565988,42.69358470983608
10,64,200,0.06777680965027126,30.769684204670224
10,128,30,0.14198992012216327,120.45023988953048
10,128,50,0.03240252424647493,24.01949370779826
10,128,75,0.08439274696598313,36.59851364196721
10,128,100,0.0542136883465161,18.858884020256394
10,128,200,0.03322577909179785,10.405326592199737
11,8,30,0.11172526537817176,101.72152165885633
11,8,50,0.06556611233017638,62.721363352609835
